2018-09-16T22:18:09+00:00 28524307 jame777 (1; 0%)
2018-09-16T22:17:15+00:00 28524307 jame777 (1; 0%)
2018-09-16T23:01:53+00:00 28524307 jame777 (1; 0%)
2018-09-16T23:03:09+00:00 28524307 jame777 (1; 0%)
2018-09-16T23:05:25+00:00 28524307 J_C (500+; 100%)
2018-09-16T23:03:09+00:00 28524307 jame777 (1; 100%)
2018-09-16T23:01:53+00:00 28524307 jame777 (1; 100%)
2018-09-16T22:24:37+00:00 28524307 jame777 (1; 100%)
2018-09-16T22:18:09+00:00 28524307 jame777 (1; 100%)
2018-09-16T22:17:15+00:00 28524307 jame777 (1; 100%)
2018-09-16T23:30:12+00:00 28525803 J_C (500+; 100%)
2018-09-16T23:30:09+00:00 28525803 J_C (500+; 100%)
2018-09-16T23:40:31+00:00 28526026 sb412 (500+; 100%)
2018-09-16T23:40:19+00:00 28526022 nelu1993 (100+; 100%)
2018-09-16T23:41:18+00:00 28526022 nelu1993 (100+; 100%)
2018-09-16T23:43:07+00:00 28526022 J_C (500+; 100%)
2018-09-16T23:45:33+00:00 28526026 sb412 (500+; 100%)
2018-09-16T23:46:12+00:00 28525803 SAMOspoke (30+; 100%)
2018-09-16T23:46:31+00:00 28525803 SAMOspoke (30+; 100%)
2018-09-16T23:46:46+00:00 28526026 J_C (500+; 100%)
2018-09-16T23:47:26+00:00 28526022 nelu1993 (100+; 100%)
2018-09-16T23:48:09+00:00 28526022 nelu1993 (100+; 100%)
2018-09-16T23:51:14+00:00 28526026 sb412 (500+; 100%)
2018-09-16T23:51:34+00:00 28526026 sb412 (500+; 100%)
2018-09-16T23:56:14+00:00 28525803 J_C (500+; 100%)
2018-09-17T00:01:27+00:00 28526022 nelu1993 (100+; 100%)
2018-09-17T00:06:46+00:00 28525803 SAMOspoke (30+; 100%)
2018-09-17T04:18:30+00:00 28529593 Cheshiresmile (30+; 100%)
2018-09-17T03:43:27+00:00 28529056 letmedoitonetime (30+; 100%)
2018-09-17T03:39:48+00:00 28529056 letmedoitonetime (30+; 100%)
2018-09-17T03:37:45+00:00 28529056 J_C (500+; 100%)
2018-09-17T03:36:38+00:00 28529056 letmedoitonetime (30+; 100%)
2018-09-17T03:33:45+00:00 28529056 J_C (500+; 100%)
2018-09-17T03:31:48+00:00 28529056 letmedoitonetime (30+; 100%)
2018-09-17T03:28:49+00:00 28529056 letmedoitonetime (30+; 100%)
